1	6490316
1	12548144
1	17844391
1	27605187
1	41894599
1	55197699
1	68384004
1	101244007
1	151150013
1	168190652
1	186179900
1	212613541
1	242179202
2	7828144
2	14616225
2	29315545
2	37714253
2	79637797
2	108963282
2	145012376
2	178741811
2	200157231
3	30374120
3	79350425
3	136195634
3	148032568
3	180246939
3	188857208
3	2167148
3	39104938
3	120803869
4	84387925
4	104454266
4	178478369
4	5388910
4	41552347
4	72379474
5	6844922
5	79789903
5	178436082
5	2364512
5	35037010
5	43711276
5	156044704
5	166312977
6	4746925
6	21911385
6	162800760
6	51746672
6	144734195
6	12534879
6	89808559
6	168265080
7	32139512
7	98066051
7	131057307
7	139747578
7	42340472
7	12629626
7	83903731
7	74039869
7	152176768
8	121896264
8	29083788
8	85512387
8	139228938
8	4333271
8	13501991
9	133057735
9	69044364
9	90878917
9	117367927
9	28628502
9	12672320
10	49633658
10	73541236
10	113557053
10	132836599
11	23988984
11	67131021
11	120773738
11	7828769
11	15816591
12	108883944
12	118451683
12	11548554
12	17254858
12	47283167
12	55769950
13	27050219
13	34273600
13	75419751
13	111174820
14	52141249
14	57771969
14	83006524
14	98908984
14	105212718
14	20349972
14	67420064
15	35927834
15	74442159
15	91562478
16	690466
16	65372805
16	85150076
16	10881454
16	19261586
17	75786110
17	55710919
17	64991033
17	1498319
17	71515958
18	9420506
18	52255174
18	77344328
18	61665875
18	22072021
18	70200427
19	55103555
19	52398652
19	33161341
20	10214785
20	55384376
21	36513327
22	31970372
22	47812123
22	17593780
